audit_id,relation,predicate_family,geometry_projection_path,pass_v1_label,pass_v2_label,triggers,adjudicated_label,adjudication_reason,adjudicator_id,adjudicated_at
PV-0040,cutting board --lying on--> plant,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0043,desk --lying on--> chair,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0046,wall --close by--> wardrobe,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0046.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0048,wall --standing on--> cupboard,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0049,box --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0049.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,floor proximity is visible but the lying pose subtype is not resolved,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0054,wall --supported by--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0058,window --supported by--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0058.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the window is separated from the floor support surface in the visible projections,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0059,kitchen cabinet --close by--> toaster,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0059.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0060,stand --lower than--> pc,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0060.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0064,window --supported by--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0064.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0066,floor --standing on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0066.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the horizontal floor does not stand on the vertical wall,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0071,cabinet --close by--> chair,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0071.png,physically_valid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_valid,the cabinet and chair are adjacent at a small separation relative to their extents,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0072,towel --close by--> shower curtain,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0072.png,ambiguous,physically_invalid,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,the towel-curtain separation is near a context-dependent close-by boundary,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0073,object --supported by--> item,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0073.png,unobservable,unobservable,low_confidence;ambiguous_or_unobservable,unobservable,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0078,books --standing on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0078.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0082,curtain --lying on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0082.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0085,pillow --standing on--> pillow,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0085.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0087,sofa --standing on--> item,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0087.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0093,pillow --lying on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0093.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0109,floor --lying on--> heater,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0109.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the floor is not lying on or supported by the heater,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0113,table --close by--> radiator,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0113.png,ambiguous,physically_invalid,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,the table-radiator separation is plausible but context-dependent for close by,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0115,kitchen cabinet --higher than--> shelf,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0115.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0116,pillow --higher than--> pillow,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0116.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0118,scale --supported by--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0118.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0126,clutter --higher than--> wall,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0126.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0132,cabinet --lying on--> stand,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0132.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0140,window --lying on--> curtain,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0140.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0141,chair --supported by--> table lamp,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0141.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the table lamp does not provide a visible support configuration for the chair,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0143,pillow --close by--> pillow,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0143.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0144,couch table --close by--> cabinet,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0144.png,physically_valid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_valid,the couch table and cabinet are visibly adjacent relative to their extents,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0145,tv --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0145.png,ambiguous,physically_valid,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,floor contact is plausible but the television pose does not establish lying on,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0146,floor --standing on--> shelf,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0146.png,ambiguous,physically_invalid,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the directed floor-standing-on-shelf relation is contradicted by the pair geometry,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0155,armchair --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0155.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0156,floor --lying on--> lamp,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0156.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the directed floor-lying-on-lamp relation is contradicted by the pair geometry,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0158,pack --lying on--> microwave,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0158.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the pack is separated from and below the microwave rather than lying on it,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0159,object --lying on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0159.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0160,screen --higher than--> coffee table,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0160.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0163,picture --standing on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0163.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0164,cabinet --supported by--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0164.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the cabinet is visibly separated below the ceiling rather than supported by it,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0166,frame --standing on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0166.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0171,cabinet --standing on--> item,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0171.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0178,counter --standing on--> cabinet,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0178.png,ambiguous,physically_invalid,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,cabinet-counter contact is plausible but the standing subtype is semantically indeterminate,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0180,floor --standing on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0180.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the horizontal floor does not stand on the vertical wall,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0182,backpack --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0182.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0184,pillow --standing on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0184.png,ambiguous,physically_valid,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,floor contact is plausible but the pillow standing subtype is not visually determined,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0188,door --lying on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0188.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0189,vase --lower than--> flower,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0189.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0192,pillow --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0192.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0198,wall --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0198.png,ambiguous,physically_invalid,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the wall is vertically oriented and is not visibly lying on the floor,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0204,cupboard --lying on--> ottoman,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0204.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the cupboard and ottoman are separated without visible lying contact,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0205,doorframe --standing on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0205.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0209,sofa --higher than--> pillow,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0209.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0211,floor --supported by--> table,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0211.png,ambiguous,physically_valid,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,the table stands on the floor; the stated inverse support direction is contradicted,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0212,shelf --supported by--> shelf,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0212.png,ambiguous,physically_valid,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,the two shelf instances overlap but the directed support relation is not identifiable,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0214,monitor --lying on--> cushion,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0214.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0216,kitchen cabinet --standing on--> kitchen cabinet,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0216.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0217,tv --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0217.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0218,wall --higher than--> curtain,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0218.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0223,floor --higher than--> ottoman,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0223.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the floor is visibly below rather than higher than the ottoman,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0224,plant --close by--> sofa,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0224.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0230,shelf --lower than--> tv,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0230.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the shelf is visibly above rather than lower than the television,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0232,plant --close by--> shelf,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0232.png,physically_valid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_valid,the plant and shelf are visibly adjacent at a small relative separation,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0234,wall --lying on--> curtain,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0234.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0235,shelf --supported by--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0235.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0237,wall --standing on--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0237.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0242,object --higher than--> couch,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0242.png,physically_valid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_valid,the subject object is visibly above the couch across vertical projections,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0253,cabinet --lower than--> cabinet,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0253.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the subject cabinet is visibly above rather than lower than the object cabinet,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0257,plant --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0257.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0258,plant --close by--> window,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0258.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0259,ceiling --higher than--> toilet paper dispenser,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0259.png,unobservable,unobservable,low_confidence;ambiguous_or_unobservable,unobservable,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
