audit_id,relation,predicate_label,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,decision_basis,notes,reviewer_id,reviewed_at
PV-0019,pillow --standing on--> floor,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,floor contact is plausible but the standing-versus-lying pose subtype is not resolved,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0020,floor --supported by--> chair,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.ply,physically_valid,medium,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0021,sink --close by--> wall,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0022,cabinet --higher than--> shelf,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,the vertical extents overlap and do not yield a stable instance-level higher-than judgment,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0023,wall --standing on--> player,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0024,ceiling --standing on--> kettle,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.ply,physically_invalid,medium,contact_or_support_missing,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0025,dining chair --close by--> ceiling,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.ply,physically_invalid,high,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0026,shelf --lower than--> pot,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.ply,physically_invalid,high,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0027,clothes --close by--> heater,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.ply,physically_invalid,high,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0028,heater --supported by--> floor,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.ply,physically_valid,medium,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0029,plant --higher than--> plant,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.ply,physically_invalid,medium,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0030,plant --standing on--> shelf,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0031,curtain --higher than--> ceiling,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.ply,physically_invalid,high,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0032,floor --higher than--> cabinet,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.ply,physically_invalid,high,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0033,clock --supported by--> ceiling,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.ply,physically_invalid,high,contact_or_support_missing,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0034,floor --higher than--> shower floor,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0035,book --supported by--> ceiling,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.ply,physically_invalid,medium,contact_or_support_missing,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0036,wall --close by--> wall,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.ply,physically_valid,medium,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0037,floor --higher than--> basket,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.ply,physically_invalid,medium,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0038,table --standing on--> floor,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.ply,physically_valid,medium,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0039,decoration --standing on--> wall,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0040,cutting board --lying on--> plant,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0041,flowers --standing on--> cabinet,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.ply,physically_invalid,high,contact_or_support_missing,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0042,shelf --close by--> bath cabinet,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0042.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0042.ply,physically_invalid,high,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0043,desk --lying on--> chair,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0044,box --standing on--> chair,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0044.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0044.ply,physically_invalid,high,contact_or_support_missing,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0045,table --close by--> wall,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0045.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0045.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0046,wall --close by--> wardrobe,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0046.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0046.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0047,wall --close by--> sofa,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0047.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0047.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0048,wall --standing on--> cupboard,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0049,box --lying on--> floor,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0049.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0049.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,floor proximity is visible but the lying pose subtype is not resolved,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0050,floor --higher than--> wall,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0050.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0050.ply,physically_invalid,medium,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0051,ceiling --lower than--> table,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0051.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0051.ply,physically_invalid,high,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0052,bottle --close by--> toilet brush,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0052.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0052.ply,physically_invalid,high,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0053,floor --higher than--> pillow,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0053.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0053.ply,physically_invalid,medium,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0054,wall --supported by--> ceiling,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0055,shelf --lower than--> item,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0055.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0055.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0056,bedside table --close by--> clutter,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0056.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0056.ply,physically_invalid,high,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0057,floor --higher than--> oven,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0057.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0057.ply,physically_invalid,medium,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0058,window --supported by--> floor,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0058.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0058.ply,physically_invalid,medium,contact_or_support_missing,true,evidence_only_visual_adjudication,the window is separated from the floor support surface in the visible projections,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0059,kitchen cabinet --close by--> toaster,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0059.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0059.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0060,stand --lower than--> pc,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0060.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0060.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0061,scale --lower than--> lamp,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0061.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0061.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0062,box --close by--> chair,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0062.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0062.ply,physically_invalid,high,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0063,player --lower than--> windowsill,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0063.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0063.ply,physically_invalid,medium,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0064,window --supported by--> floor,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0064.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0064.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0065,tv --standing on--> tv stand,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0065.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0065.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0066,floor --standing on--> wall,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0066.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0066.ply,physically_invalid,medium,contact_or_support_missing,true,evidence_only_visual_adjudication,the horizontal floor does not stand on the vertical wall,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0067,chair --supported by--> floor,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0067.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0067.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0068,curtain --close by--> lamp,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0068.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0068.ply,physically_invalid,medium,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
