audit_id,relation,predicate_label,predicate_family,geometry_projection_path,rgb_pair_crop_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,notes,reviewer_id,reviewed_at
PV-0011,item --higher than--> kitchen appliance,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.ply,physically_valid,high,clear_directed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=1.7154;bbox_gap_norm=1.7891;xy_bbox_gap_norm=1.7206;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=1.9206;surface_p10_norm=2.0069;subject_vertical_aspect=3.2381;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.627547+00:00
PV-0012,shower curtain --higher than--> ceiling,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.ply,physically_invalid,high,clear_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-1.1641;bbox_gap_norm=0.6291;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.0283;support_gap_norm=-1.8666;surface_p02_norm=0.6759;surface_p10_norm=0.7039;subject_vertical_aspect=2.8643;local_object_points=197,codex_blinded_rereview_v2,2026-07-10T07:14:51.634293+00:00
PV-0013,floor --lower than--> pillow,lower than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.png,local_dataset/qwen_vl_crops/full_validation/f2c76fe9-2239-29d0-87ec-f2c7ced812c1_1/1_38/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.ply,physically_valid,medium,moderate_directed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-0.2049;bbox_gap_norm=0.2399;xy_bbox_gap_norm=0.2040;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.3610;surface_p10_norm=0.3913;subject_vertical_aspect=0.0523;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.637158+00:00
PV-0014,box --standing on--> wall,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.ply,physically_valid,high,contact_with_upright_pose,True,codex_blinded_rereview_v2:center_dz_norm=0.0333;bbox_gap_norm=0.0200;xy_bbox_gap_norm=0.0200;xy_overlap_ratio=0.0000;support_gap_norm=-0.1022;surface_p02_norm=0.0122;surface_p10_norm=0.0934;subject_vertical_aspect=0.6289;local_object_points=66,codex_blinded_rereview_v2,2026-07-10T07:14:51.642098+00:00
PV-0015,shelf --standing on--> commode,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.ply,physically_invalid,high,standing_support_absent,True,codex_blinded_rereview_v2:center_dz_norm=1.5922;bbox_gap_norm=1.0255;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=1.0399;surface_p02_norm=1.0160;surface_p10_norm=1.0431;subject_vertical_aspect=0.2928;local_object_points=540,codex_blinded_rereview_v2,2026-07-10T07:14:51.645280+00:00
PV-0016,sofa --standing on--> plate,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.png,local_dataset/qwen_vl_crops/full_validation/a0905fdb-66f7-2272-9fc5-7c0008d5e87b_3/2_88/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.0876;bbox_gap_norm=0.0173;xy_bbox_gap_norm=0.0173;xy_overlap_ratio=0.0000;support_gap_norm=-0.5295;surface_p02_norm=0.0484;surface_p10_norm=0.0818;subject_vertical_aspect=0.4320;local_object_points=24,codex_blinded_rereview_v2,2026-07-10T07:14:51.651100+00:00
PV-0017,pillow --standing on--> pillow,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.png,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_5/44_43/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.0199;bbox_gap_norm=0.0086;xy_bbox_gap_norm=0.0086;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.0980;surface_p10_norm=0.1768;subject_vertical_aspect=0.7437;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.652132+00:00
PV-0018,plant --supported by--> floor,supported by,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.png,local_dataset/qwen_vl_crops/full_validation/4fbad32f-465b-2a5d-8408-146ab1d72808_1/28_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.ply,ambiguous,low,support_surface_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=0.3337;bbox_gap_norm=0.2550;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.1519;support_gap_norm=0.2633;surface_p02_norm=0.2825;surface_p10_norm=0.3090;subject_vertical_aspect=0.8897;local_object_points=25,codex_blinded_rereview_v2,2026-07-10T07:14:51.655555+00:00
PV-0019,pillow --standing on--> floor,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,local_dataset/qwen_vl_crops/full_validation/0cac7584-8d6f-2d13-8df8-c05e4307b418_1/57_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=0.1260;bbox_gap_norm=0.0784;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=None;surface_p02_norm=0.1018;surface_p10_norm=0.1354;subject_vertical_aspect=0.4212;local_object_points=8,codex_blinded_rereview_v2,2026-07-10T07:14:51.658164+00:00
PV-0020,floor --supported by--> chair,supported by,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.png,local_dataset/qwen_vl_crops/full_validation/b1f23308-d255-2761-94da-981d962c6bf8_1/1_4/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.ply,physically_valid,medium,plausible_support_contact,True,codex_blinded_rereview_v2:center_dz_norm=-0.0834;bbox_gap_norm=0.0465;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-0.1691;surface_p02_norm=0.0694;surface_p10_norm=0.0811;subject_vertical_aspect=0.0248;local_object_points=1247,codex_blinded_rereview_v2,2026-07-10T07:14:51.664640+00:00
PV-0021,sink --close by--> wall,close by,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.png,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_5/81_70/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.ply,physically_valid,high,near_visible_surfaces,True,codex_blinded_rereview_v2:center_dz_norm=-0.0441;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.0067;support_gap_norm=-0.4351;surface_p02_norm=0.0812;surface_p10_norm=0.1232;subject_vertical_aspect=0.3518;local_object_points=94,codex_blinded_rereview_v2,2026-07-10T07:14:51.670411+00:00
PV-0022,cabinet --higher than--> shelf,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.png,local_dataset/qwen_vl_crops/full_validation/c92fb5b7-f771-2064-87a9-31c819832405_1/12_44/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.ply,physically_invalid,medium,moderate_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-0.1141;bbox_gap_norm=0.3197;xy_bbox_gap_norm=0.3197;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.4076;surface_p10_norm=0.4543;subject_vertical_aspect=2.2719;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.674534+00:00
PV-0023,wall --standing on--> player,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.4297;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.7932;support_gap_norm=-1.0137;surface_p02_norm=0.1029;surface_p10_norm=0.1287;subject_vertical_aspect=0.7916;local_object_points=110,codex_blinded_rereview_v2,2026-07-10T07:14:51.676164+00:00
PV-0024,ceiling --standing on--> kettle,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.ply,physically_invalid,medium,standing_support_absent,True,codex_blinded_rereview_v2:center_dz_norm=0.5068;bbox_gap_norm=0.4451;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=0.4451;surface_p02_norm=0.4786;surface_p10_norm=0.4914;subject_vertical_aspect=0.0349;local_object_points=171,codex_blinded_rereview_v2,2026-07-10T07:14:51.679291+00:00
PV-0025,dining chair --close by--> ceiling,close by,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.ply,physically_invalid,high,large_relative_separation,True,codex_blinded_rereview_v2:center_dz_norm=-1.3292;bbox_gap_norm=1.5658;xy_bbox_gap_norm=1.3594;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=2.0756;surface_p10_norm=2.1363;subject_vertical_aspect=1.8842;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.683719+00:00
PV-0026,shelf --lower than--> pot,lower than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.png,local_dataset/qwen_vl_crops/full_validation/68bae75f-3567-2f7c-829d-7422117729f3_2/11_20/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.ply,physically_invalid,high,clear_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=2.3084;bbox_gap_norm=2.1639;xy_bbox_gap_norm=0.4845;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=2.2329;surface_p10_norm=2.2563;subject_vertical_aspect=0.5454;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.687555+00:00
PV-0027,clothes --close by--> heater,close by,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.ply,physically_invalid,high,large_relative_separation,True,codex_blinded_rereview_v2:center_dz_norm=0.3346;bbox_gap_norm=5.1161;xy_bbox_gap_norm=5.1161;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=5.2771;surface_p10_norm=5.3288;subject_vertical_aspect=1.2549;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.693979+00:00
PV-0028,heater --supported by--> floor,supported by,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.png,local_dataset/qwen_vl_crops/full_validation/ba6fdaac-a4c1-2dca-8380-f16765679fd7_1/39_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.ply,physically_valid,high,direct_support_contact,True,codex_blinded_rereview_v2:center_dz_norm=0.0728;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.3760;support_gap_norm=-0.0063;surface_p02_norm=0.0112;surface_p10_norm=0.0233;subject_vertical_aspect=0.4362;local_object_points=96,codex_blinded_rereview_v2,2026-07-10T07:14:51.700217+00:00
PV-0029,plant --higher than--> plant,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.ply,physically_invalid,medium,moderate_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-0.2406;bbox_gap_norm=0.1515;xy_bbox_gap_norm=0.1515;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.1948;surface_p10_norm=0.2315;subject_vertical_aspect=2.9210;local_object_points=1,codex_blinded_rereview_v2,2026-07-10T07:14:51.707084+00:00
PV-0030,plant --standing on--> shelf,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.png,local_dataset/qwen_vl_crops/full_validation/8eabc461-5af7-2f32-8663-ce5a10fd97b3_2/62_59/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.ply,physically_valid,high,contact_with_upright_pose,True,codex_blinded_rereview_v2:center_dz_norm=0.3129;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.9903;support_gap_norm=-0.0782;surface_p02_norm=0.0000;surface_p10_norm=0.0570;subject_vertical_aspect=1.2222;local_object_points=52,codex_blinded_rereview_v2,2026-07-10T07:14:51.708426+00:00
PV-0031,curtain --higher than--> ceiling,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.ply,physically_invalid,high,clear_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-0.7189;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-1.0845;surface_p02_norm=0.0000;surface_p10_norm=0.0450;subject_vertical_aspect=6.8197;local_object_points=129,codex_blinded_rereview_v2,2026-07-10T07:14:51.714345+00:00
PV-0032,floor --higher than--> cabinet,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.png,local_dataset/qwen_vl_crops/full_validation/6e67e550-1209-2cd0-8294-7cc2564cf82c_2/1_15/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.ply,physically_invalid,high,clear_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-0.3956;bbox_gap_norm=0.2241;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-0.6012;surface_p02_norm=0.2478;surface_p10_norm=0.2865;subject_vertical_aspect=0.0433;local_object_points=1591,codex_blinded_rereview_v2,2026-07-10T07:14:51.721234+00:00
PV-0033,clock --supported by--> ceiling,supported by,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.ply,physically_invalid,high,support_contact_absent,True,codex_blinded_rereview_v2:center_dz_norm=-0.6458;bbox_gap_norm=1.6754;xy_bbox_gap_norm=1.6750;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=1.8584;surface_p10_norm=1.9109;subject_vertical_aspect=4.1783;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.725938+00:00
PV-0034,floor --higher than--> shower floor,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.png,local_dataset/qwen_vl_crops/full_validation/1d233fe8-e280-2b1a-8fac-c3646a1cd64a_1/1_8/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.ply,ambiguous,low,near_tied_vertical_extent,True,codex_blinded_rereview_v2:center_dz_norm=-0.0082;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.7233;support_gap_norm=-0.0640;surface_p02_norm=0.0000;surface_p10_norm=0.0162;subject_vertical_aspect=0.0488;local_object_points=908,codex_blinded_rereview_v2,2026-07-10T07:14:51.732146+00:00
PV-0035,book --supported by--> ceiling,supported by,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.ply,physically_invalid,medium,support_contact_absent,True,codex_blinded_rereview_v2:center_dz_norm=-0.8209;bbox_gap_norm=0.6086;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=None;surface_p02_norm=0.7414;surface_p10_norm=0.7909;subject_vertical_aspect=1.6514;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.733997+00:00
PV-0036,wall --close by--> wall,close by,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.ply,physically_valid,high,near_visible_surfaces,True,codex_blinded_rereview_v2:center_dz_norm=0.0128;bbox_gap_norm=0.0995;xy_bbox_gap_norm=0.0995;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.2180;surface_p10_norm=0.4253;subject_vertical_aspect=0.8846;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.742984+00:00
PV-0037,floor --higher than--> basket,higher than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.png,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_1/1_81/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.ply,physically_invalid,medium,moderate_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-0.1601;bbox_gap_norm=0.0302;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-0.2220;surface_p02_norm=0.0444;surface_p10_norm=0.0715;subject_vertical_aspect=0.0347;local_object_points=495,codex_blinded_rereview_v2,2026-07-10T07:14:51.749296+00:00
PV-0038,table --standing on--> floor,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.png,local_dataset/qwen_vl_crops/full_validation/ddc7379b-765b-241a-9f45-c37e41608726_2/9_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.ply,physically_valid,high,contact_with_upright_pose,True,codex_blinded_rereview_v2:center_dz_norm=0.1348;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-0.0118;surface_p02_norm=0.0184;surface_p10_norm=0.0533;subject_vertical_aspect=0.5010;local_object_points=527,codex_blinded_rereview_v2,2026-07-10T07:14:51.756366+00:00
PV-0039,decoration --standing on--> wall,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.png,local_dataset/qwen_vl_crops/full_validation/75c25975-9ca2-2844-9769-84677f46d4cf_5/36_7/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.1936;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-0.7448;surface_p02_norm=0.0000;surface_p10_norm=0.0301;subject_vertical_aspect=1.0375;local_object_points=336,codex_blinded_rereview_v2,2026-07-10T07:14:51.760402+00:00
PV-0040,cutting board --lying on--> plant,lying on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.png,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_4/82_85/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.ply,ambiguous,low,lying_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.1972;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-0.4912;surface_p02_norm=0.0000;surface_p10_norm=0.0000;subject_vertical_aspect=0.2488;local_object_points=222,codex_blinded_rereview_v2,2026-07-10T07:14:51.761511+00:00
