audit_id,relation,predicate_family,predicate_label,geometry_projection_path,rgb_pair_crop_path,pass_v1_label,pass_v1_confidence,pass_v1_reason,pass_v2_label,pass_v2_confidence,pass_v2_reason,transition
PV-0144,couch table --close by--> cabinet,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0144.png,local_dataset/qwen_vl_crops/full_validation/c7895f07-339c-2d13-8176-7418b6e8d7ce_6/15_22/pair_view_000.png,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0145,tv --lying on--> floor,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0145.png,,ambiguous,low,pose_subtype_uncertain,physically_valid,medium,plausible_contact_with_flat_pose,ambiguous->physically_valid
PV-0146,floor --standing on--> shelf,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0146.png,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_1/1_59/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,physically_invalid,medium,contact_but_flat_pose,ambiguous->physically_invalid
PV-0156,floor --lying on--> lamp,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0156.png,local_dataset/qwen_vl_crops/full_validation/c7895f27-339c-2d13-836b-c12dca280261_4/1_42/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,lying_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0158,pack --lying on--> microwave,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0158.png,local_dataset/qwen_vl_crops/full_validation/7747a50c-9431-24e8-877d-e60c3a341cc2_5/52_54/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,lying_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0178,counter --standing on--> cabinet,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0178.png,,ambiguous,low,pose_subtype_uncertain,physically_invalid,medium,contact_but_flat_pose,ambiguous->physically_invalid
PV-0184,pillow --standing on--> floor,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0184.png,local_dataset/qwen_vl_crops/full_validation/280d8ebb-6cc6-2788-9153-98959a2da801_2/47_1/pair_view_000.png,ambiguous,low,support_configuration_uncertain,physically_valid,medium,plausible_contact_with_upright_pose,ambiguous->physically_valid
PV-0198,wall --lying on--> floor,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0198.png,local_dataset/qwen_vl_crops/full_validation/43b8cadf-6678-2e38-9920-064144c99406_3/22_1/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,physically_invalid,medium,contact_but_upright_pose,ambiguous->physically_invalid
PV-0204,cupboard --lying on--> ottoman,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0204.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,lying_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0211,floor --supported by--> table,support_contact,supported by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0211.png,local_dataset/qwen_vl_crops/full_validation/38770ca1-86d7-27b8-8619-ab66f67d9adf_6/1_2/pair_view_000.png,ambiguous,low,support_configuration_uncertain,physically_valid,medium,plausible_support_contact,ambiguous->physically_valid
PV-0212,shelf --supported by--> shelf,support_contact,supported by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0212.png,local_dataset/qwen_vl_crops/full_validation/c7895f78-339c-2d13-82bb-cc990cbbc90f_2/8_10/pair_view_000.png,ambiguous,low,support_configuration_uncertain,physically_valid,medium,plausible_support_contact,ambiguous->physically_valid
PV-0232,plant --close by--> shelf,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0232.png,local_dataset/qwen_vl_crops/full_validation/20c993b7-698f-29c5-847d-c8cb8a685f5a_1/17_6/pair_view_000.png,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0242,object --higher than--> couch,relative_vertical,higher than,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0242.png,,physically_valid,medium,vertical_order_consistent,ambiguous,low,near_tied_vertical_extent,physically_valid->ambiguous
PV-0262,decoration --standing on--> shelf,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0262.png,local_dataset/qwen_vl_crops/full_validation/8eabc461-5af7-2f32-8663-ce5a10fd97b3_2/63_59/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,standing_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0263,cleanser --close by--> washing machine,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0263.png,local_dataset/qwen_vl_crops/full_validation/787ed58c-9d98-2c97-83b9-b48a609ace15_2/20_5/pair_view_000.png,physically_invalid,medium,distance_inconsistent,ambiguous,low,proximity_requires_scene_context,physically_invalid->ambiguous
PV-0282,clothes dryer --standing on--> shelf,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0282.png,local_dataset/qwen_vl_crops/full_validation/1d233fe8-e280-2b1a-8fac-c3646a1cd64a_2/13_19/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,standing_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0298,trash can --standing on--> floor,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0298.png,local_dataset/qwen_vl_crops/full_validation/4fbad31e-465b-2a5d-84b7-c0ddea978db4_6/25_1/pair_view_000.png,ambiguous,low,support_configuration_uncertain,physically_valid,high,contact_with_upright_pose,ambiguous->physically_valid
PV-0319,shelf --close by--> shelf,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0319.png,local_dataset/qwen_vl_crops/full_validation/0cac75ea-8d6f-2d13-8e50-c5faf0159e32_1/16_17/pair_view_000.png,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0338,pillow --standing on--> blanket,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0338.png,,ambiguous,low,support_configuration_uncertain,physically_valid,medium,plausible_contact_with_upright_pose,ambiguous->physically_valid
PV-0347,wall --close by--> towel,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0347.png,local_dataset/qwen_vl_crops/full_validation/c92fb5b5-f771-2064-8570-dbe16cb33764_1/14_16/pair_view_000.png,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0352,folder --close by--> box,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0352.png,local_dataset/qwen_vl_crops/full_validation/4fbad331-465b-2a5d-8488-852fcda9513c_3/50_39/pair_view_000.png,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0361,shower wall --supported by--> lamp,support_contact,supported by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0361.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,support_surface_or_contact_unclear,physically_invalid->ambiguous
PV-0368,pillow --lying on--> floor,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0368.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,lying_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0369,ceiling --standing on--> wall,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0369.png,,ambiguous,low,pose_subtype_uncertain,physically_invalid,medium,contact_but_flat_pose,ambiguous->physically_invalid
PV-0372,floor --lying on--> dining chair,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0372.png,local_dataset/qwen_vl_crops/full_validation/e61b0e02-bada-2f31-82d0-80fc5c70bd6f_7/1_39/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,physically_valid,medium,plausible_contact_with_flat_pose,ambiguous->physically_valid
PV-0378,plant --supported by--> wall,support_contact,supported by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0378.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,support_surface_or_contact_unclear,physically_invalid->ambiguous
PV-0387,wall --lying on--> sink,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0387.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,lying_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0388,plant --close by--> floor,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0388.png,,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0408,floor --lower than--> curtain,relative_vertical,lower than,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0408.png,local_dataset/qwen_vl_crops/full_validation/c92fb5b7-f771-2064-87a9-31c819832405_1/1_6/pair_view_000.png,physically_valid,medium,vertical_order_consistent,ambiguous,low,near_tied_vertical_extent,physically_valid->ambiguous
PV-0415,lamp --lying on--> wall,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0415.png,local_dataset/qwen_vl_crops/full_validation/4d3d82b0-8cf4-2e04-80a8-c955ea964c2f_3/20_5/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,physically_valid,medium,plausible_contact_with_flat_pose,ambiguous->physically_valid
PV-0421,bath cabinet --close by--> bath cabinet,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0421.png,,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0428,clutter --close by--> floor,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0428.png,,ambiguous,low,distance_context_dependent,physically_invalid,medium,separated_relative_to_pair_scale,ambiguous->physically_invalid
PV-0433,floor --lower than--> radiator,relative_vertical,lower than,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0433.png,local_dataset/qwen_vl_crops/full_validation/c92fb5b7-f771-2064-87a9-31c819832405_1/1_5/pair_view_000.png,physically_valid,medium,vertical_order_consistent,ambiguous,low,near_tied_vertical_extent,physically_valid->ambiguous
PV-0434,floor --standing on--> cabinet,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0434.png,local_dataset/qwen_vl_crops/full_validation/e61b0e04-bada-2f31-82d6-72831a602ba7_1/1_10/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,physically_invalid,medium,contact_but_flat_pose,ambiguous->physically_invalid
PV-0436,floor --lying on--> blanket,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0436.png,local_dataset/qwen_vl_crops/full_validation/742e8f15-be0a-294e-9ebb-6c72dbcb9662_1/1_26/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,physically_valid,medium,plausible_contact_with_flat_pose,ambiguous->physically_valid
PV-0447,lamp --standing on--> bench,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0447.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,standing_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0460,table --close by--> wall,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0460.png,,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0466,wall --lying on--> floor,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0466.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,lying_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0478,doorframe --close by--> cleanser,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0478.png,,ambiguous,low,distance_context_dependent,physically_invalid,medium,separated_relative_to_pair_scale,ambiguous->physically_invalid
PV-0480,wall --close by--> wall,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0480.png,local_dataset/qwen_vl_crops/full_validation/ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64_5/17_13/pair_view_000.png,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
