case_id,evidence_level,route,relations,source_scope,K,delta_recall,delta_recall_ci95,delta_violation,delta_violation_ci95,paper_role,interpretation,control_name,auroc,best_accuracy,status,selected_policy,support_contact_solved_claim_allowed,metric_rerun_allowed_now,main_validated_routes,diagnostic_routes,future_routes,automatic_metric_expansion_allowed
appendix_frame_depth_ambiguity_K50_open3dsg_recovery_relaxed_views_min2,appendix_metric_summary,frame_depth_ambiguity,front/behind,open3dsg_recovery_relaxed_views_min2,50,-0.170424,,-0.359159,,failure_case_appendix,"Violation decreases, but Recall loss is too large for main success.",,,,,,,,,,,
appendix_frame_depth_ambiguity_K20_vlsat_full_validation,appendix_metric_summary,frame_depth_ambiguity,front/behind,vlsat_full_validation,20,-0.203125,,-0.273084,,failure_case_appendix,"Violation decreases, but Recall loss is too large for main success.",,,,,,,,,,,
appendix_frame_depth_ambiguity_K50_vlsat_full_validation,appendix_metric_summary,frame_depth_ambiguity,front/behind,vlsat_full_validation,50,-0.127441,,-0.237028,,failure_case_appendix,"Violation decreases, but Recall loss is too large for main success.",,,,,,,,,,,
appendix_geometry_only_control_K20_open3dsg_recovery_relaxed_views_min2,appendix_metric_summary,geometry_only_control,close by,open3dsg_recovery_relaxed_views_min2,20,-0.001389,,-0.001330,,geometry_only_route_control,"Proximity is geometry-decidable and supports relation-aware routing, not T_e x G_e interaction.",,,,,,,,,,,
appendix_geometry_only_control_K50_open3dsg_recovery_relaxed_views_min2,appendix_metric_summary,geometry_only_control,close by,open3dsg_recovery_relaxed_views_min2,50,-0.002778,,-0.001265,,geometry_only_route_control,"Proximity is geometry-decidable and supports relation-aware routing, not T_e x G_e interaction.",,,,,,,,,,,
appendix_geometry_only_control_K20_vlsat_full_validation,appendix_metric_summary,geometry_only_control,close by,vlsat_full_validation,20,0.000000,,-0.000547,,geometry_only_route_control,"Proximity is geometry-decidable and supports relation-aware routing, not T_e x G_e interaction.",,,,,,,,,,,
appendix_geometry_only_control_K50_vlsat_full_validation,appendix_metric_summary,geometry_only_control,close by,vlsat_full_validation,50,-0.002265,,-0.004551,,geometry_only_route_control,"Proximity is geometry-decidable and supports relation-aware routing, not T_e x G_e interaction.",,,,,,,,,,,
proximity_control_normalized_distance_xy,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,scale-normalized XY distance solves the route target,normalized_distance_xy,1.0,1.0,,,,,,,,
proximity_control_normalized_distance_3d,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,scale-normalized 3D distance solves the route target,normalized_distance_3d,1.0,1.0,,,,,,,,
proximity_control_distance_xy,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,raw XY distance nearly solves geometry support,distance_xy,0.99955625,0.9925,,,,,,,,
proximity_control_distance_3d,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,raw 3D distance nearly solves geometry support,distance_3d,0.998975,0.9875,,,,,,,,
proximity_control_source_score_rank,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,source confidence does not explain geometry support,source_score_rank,0.552103125,0.54625,,,,,,,,
proximity_control_class_pair_only,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,class-pair shortcut is near chance,class_pair_only,,0.50375,,,,,,,,
proximity_control_p_geom_valid_hidden_baseline,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,hidden geometry-rule reference is strong but not model input,p_geom_valid_hidden_baseline,0.99959375,0.99125,,,,,,,,
proximity_control_shuffled_G,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,shuffled geometry collapses,shuffled_G,0.336178125,0.5,,,,,,,,
proximity_control_wrong_pair_geometry,geometry_only_control_summary,geometry_only_control,close by,,,,,,,,wrong-pair geometry collapses,wrong_pair_geometry,0.006271875,0.5,,,,,,,,
support_contact_diagnostic_freeze,route_boundary_summary,hard_contact_pose,"standing on, lying on, supported by",,,,,,,,Support/contact remains a hard-route diagnostic; current H002 claim is unchanged.,,,,h002_extension_stage_e2_support_contact_independent_target_diagnostic_freeze_ready,freeze_support_contact_independent_target_as_hard_route_diagnostic_current_h002_unchanged,False,False,,,,
