audit_id,relation,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,proxy_label,proxy_confidence,proxy_reason,verdict,corrected_label,comment,reviewer_id,reviewed_at
PV-0014,box --standing on--> wall,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0015,shelf --standing on--> commode,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0016,sofa --standing on--> plate,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.ply,physically_invalid,medium,the sofa is not supported by the small plate instance in the visible geometry,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0017,pillow --standing on--> pillow,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0018,plant --supported by--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0019,pillow --standing on--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.ply,ambiguous,low,floor contact is plausible but the standing-versus-lying pose subtype is not resolved,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0020,floor --supported by--> chair,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0021,sink --close by--> wall,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0022,cabinet --higher than--> shelf,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.ply,ambiguous,low,the vertical extents overlap and do not yield a stable instance-level higher-than judgment,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0023,wall --standing on--> player,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0024,ceiling --standing on--> kettle,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0025,dining chair --close by--> ceiling,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0026,shelf --lower than--> pot,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0027,clothes --close by--> heater,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0028,heater --supported by--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0029,plant --higher than--> plant,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0030,plant --standing on--> shelf,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0031,curtain --higher than--> ceiling,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0032,floor --higher than--> cabinet,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0033,clock --supported by--> ceiling,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0034,floor --higher than--> shower floor,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0035,book --supported by--> ceiling,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0036,wall --close by--> wall,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0037,floor --higher than--> basket,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0038,table --standing on--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0039,decoration --standing on--> wall,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0040,cutting board --lying on--> plant,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0041,flowers --standing on--> cabinet,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0042,shelf --close by--> bath cabinet,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0042.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0042.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0043,desk --lying on--> chair,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0044,box --standing on--> chair,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0044.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0044.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0045,table --close by--> wall,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0045.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0045.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0046,wall --close by--> wardrobe,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0046.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0046.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0047,wall --close by--> sofa,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0047.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0047.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0048,wall --standing on--> cupboard,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0049,box --lying on--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0049.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0049.ply,ambiguous,low,floor proximity is visible but the lying pose subtype is not resolved,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0050,floor --higher than--> wall,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0050.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0050.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0051,ceiling --lower than--> table,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0051.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0051.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0052,bottle --close by--> toilet brush,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0052.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0052.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0053,floor --higher than--> pillow,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0053.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0053.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0054,wall --supported by--> ceiling,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0055,shelf --lower than--> item,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0055.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0055.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0056,bedside table --close by--> clutter,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0056.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0056.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0057,floor --higher than--> oven,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0057.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0057.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0058,window --supported by--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0058.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0058.ply,physically_invalid,medium,the window is separated from the floor support surface in the visible projections,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0059,kitchen cabinet --close by--> toaster,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0059.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0059.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0060,stand --lower than--> pc,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0060.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0060.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0061,scale --lower than--> lamp,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0061.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0061.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0062,box --close by--> chair,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0062.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0062.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0063,player --lower than--> windowsill,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0063.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0063.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0064,window --supported by--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0064.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0064.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0065,tv --standing on--> tv stand,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0065.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0065.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0066,floor --standing on--> wall,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0066.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0066.ply,physically_invalid,medium,the horizontal floor does not stand on the vertical wall,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0067,chair --supported by--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0067.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0067.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0068,curtain --close by--> lamp,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0068.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0068.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0069,picture --higher than--> picture,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0069.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0069.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0070,wall --close by--> fireplace,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0070.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0070.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0071,cabinet --close by--> chair,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0071.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0071.ply,physically_valid,medium,the cabinet and chair are adjacent at a small separation relative to their extents,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0072,towel --close by--> shower curtain,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0072.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0072.ply,ambiguous,low,the towel-curtain separation is near a context-dependent close-by boundary,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0073,object --supported by--> item,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0073.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0073.ply,unobservable,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0074,curtain --close by--> ceiling,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0074.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0074.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0075,clutter --lying on--> wall,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0075.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0075.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0076,table --close by--> table,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0076.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0076.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0077,toilet --lower than--> wall,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0077.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0077.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0078,books --standing on--> wall,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0078.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0078.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
