audit_id,relation,predicate_family,geometry_projection_path,rgb_pair_crop_path,proxy_label,proxy_confidence,proxy_reason_code,proxy_rule,visible_geometry_cues,human_final_label,human_confidence,human_reason_code,human_notes,reviewer_id,reviewed_at
PV-0014,box --standing on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.png,,physically_valid,medium,standing_support_consistent,support_contact_plus_vertical_pose,center_dz_norm=0.0361;bbox_gap_norm=0.0868;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.1001;subject_vertical_aspect=0.6593;local_object_points=83,,,,,,
PV-0015,shelf --standing on--> commode,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.png,,physically_invalid,high,contact_or_support_missing,standing_support_separated,center_dz_norm=1.8138;bbox_gap_norm=1.2003;xy_overlap_ratio=1.0000;local_vertical_gap_norm=1.2109;subject_vertical_aspect=0.2962;local_object_points=576,,,,,,
PV-0016,sofa --standing on--> plate,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.png,local_dataset/qwen_vl_crops/full_validation/a0905fdb-66f7-2272-9fc5-7c0008d5e87b_3/2_88/pair_view_000.png,ambiguous,low,support_configuration_uncertain,standing_contact_or_pose_uncertain,center_dz_norm=-0.0947;bbox_gap_norm=0.0660;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.5883;subject_vertical_aspect=0.4267;local_object_points=61,,,,,,
PV-0017,pillow --standing on--> pillow,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.png,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_5/44_43/pair_view_000.png,ambiguous,low,support_configuration_uncertain,standing_contact_or_pose_uncertain,center_dz_norm=-0.0218;bbox_gap_norm=0.0987;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.7437;local_object_points=0,,,,,,
PV-0018,plant --supported by--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.png,local_dataset/qwen_vl_crops/full_validation/4fbad32f-465b-2a5d-8408-146ab1d72808_1/28_1/pair_view_000.png,ambiguous,low,support_configuration_uncertain,contact_band_or_footprint_uncertain,center_dz_norm=0.3729;bbox_gap_norm=0.3060;xy_overlap_ratio=0.0000;local_vertical_gap_norm=0.3044;subject_vertical_aspect=0.8336;local_object_points=38,,,,,,
PV-0019,pillow --standing on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,local_dataset/qwen_vl_crops/full_validation/0cac7584-8d6f-2d13-8df8-c05e4307b418_1/57_1/pair_view_000.png,physically_valid,medium,standing_support_consistent,support_contact_plus_vertical_pose,center_dz_norm=0.1375;bbox_gap_norm=0.0940;xy_overlap_ratio=1.0000;local_vertical_gap_norm=0.0909;subject_vertical_aspect=0.4199;local_object_points=15,,,,,,
PV-0020,floor --supported by--> chair,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.png,local_dataset/qwen_vl_crops/full_validation/b1f23308-d255-2761-94da-981d962c6bf8_1/1_4/pair_view_000.png,physically_valid,medium,contact_or_support_consistent,local_support_surface_contact,center_dz_norm=-0.0907;bbox_gap_norm=0.0575;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.1757;subject_vertical_aspect=0.0217;local_object_points=1247,,,,,,
PV-0021,sink --close by--> wall,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.png,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_5/81_70/pair_view_000.png,physically_valid,high,distance_consistent,robust_bbox_gap_norm_le_0.15,center_dz_norm=-0.0481;bbox_gap_norm=0.0219;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.4571;subject_vertical_aspect=0.3208;local_object_points=126,,,,,,
PV-0022,cabinet --higher than--> shelf,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.png,local_dataset/qwen_vl_crops/full_validation/c92fb5b7-f771-2064-87a9-31c819832405_1/12_44/pair_view_000.png,ambiguous,low,vertical_order_near_tie,directed_center_height_margin_near_zero,center_dz_norm=-0.1189;bbox_gap_norm=0.3776;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=2.4545;local_object_points=0,,,,,,
PV-0023,wall --standing on--> player,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.png,,ambiguous,low,support_configuration_uncertain,standing_contact_or_pose_uncertain,center_dz_norm=-0.4939;bbox_gap_norm=0.0000;xy_overlap_ratio=0.6959;local_vertical_gap_norm=-1.1382;subject_vertical_aspect=0.8730;local_object_points=111,,,,,,
PV-0024,ceiling --standing on--> kettle,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.png,,physically_invalid,medium,contact_or_support_missing,standing_support_separated,center_dz_norm=0.5726;bbox_gap_norm=0.5124;xy_overlap_ratio=1.0000;local_vertical_gap_norm=0.5124;subject_vertical_aspect=0.0310;local_object_points=171,,,,,,
PV-0025,dining chair --close by--> ceiling,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.png,,physically_invalid,high,distance_inconsistent,robust_bbox_gap_norm_ge_1.00,center_dz_norm=-1.4673;bbox_gap_norm=1.8522;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=2.0571;local_object_points=0,,,,,,
PV-0026,shelf --lower than--> pot,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.png,local_dataset/qwen_vl_crops/full_validation/68bae75f-3567-2f7c-829d-7422117729f3_2/11_20/pair_view_000.png,physically_invalid,high,vertical_order_inconsistent,directed_center_height_reversed_le_-0.40,center_dz_norm=2.5632;bbox_gap_norm=2.4266;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.5346;local_object_points=0,,,,,,
PV-0027,clothes --close by--> heater,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.png,,physically_invalid,high,distance_inconsistent,robust_bbox_gap_norm_ge_1.00,center_dz_norm=0.3593;bbox_gap_norm=5.5547;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.2719;local_object_points=0,,,,,,
PV-0028,heater --supported by--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.png,local_dataset/qwen_vl_crops/full_validation/ba6fdaac-a4c1-2dca-8380-f16765679fd7_1/39_1/pair_view_000.png,physically_valid,medium,contact_or_support_consistent,local_support_surface_contact,center_dz_norm=0.0784;bbox_gap_norm=0.0066;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.0025;subject_vertical_aspect=0.4334;local_object_points=115,,,,,,
PV-0029,plant --higher than--> plant,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.png,,physically_invalid,medium,vertical_order_inconsistent,directed_center_height_reversed_le_-0.12,center_dz_norm=-0.2708;bbox_gap_norm=0.2388;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=3.2008;local_object_points=1,,,,,,
PV-0030,plant --standing on--> shelf,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.png,local_dataset/qwen_vl_crops/full_validation/8eabc461-5af7-2f32-8663-ce5a10fd97b3_2/62_59/pair_view_000.png,physically_valid,high,standing_support_consistent,support_contact_plus_vertical_pose,center_dz_norm=0.3318;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.0787;subject_vertical_aspect=1.3469;local_object_points=63,,,,,,
PV-0031,curtain --higher than--> ceiling,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.png,,physically_invalid,high,vertical_order_inconsistent,directed_center_height_reversed_le_-0.40,center_dz_norm=-0.7903;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-1.1738;subject_vertical_aspect=7.0522;local_object_points=158,,,,,,
PV-0032,floor --higher than--> cabinet,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.png,local_dataset/qwen_vl_crops/full_validation/6e67e550-1209-2cd0-8294-7cc2564cf82c_2/1_15/pair_view_000.png,physically_invalid,high,vertical_order_inconsistent,directed_center_height_reversed_le_-0.40,center_dz_norm=-0.4293;bbox_gap_norm=0.2554;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.6330;subject_vertical_aspect=0.0354;local_object_points=1591,,,,,,
PV-0033,clock --supported by--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.png,,physically_invalid,high,contact_or_support_missing,pair_or_vertical_separation,center_dz_norm=-0.7084;bbox_gap_norm=1.9189;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=4.3246;local_object_points=0,,,,,,
PV-0034,floor --higher than--> shower floor,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.png,local_dataset/qwen_vl_crops/full_validation/1d233fe8-e280-2b1a-8fac-c3646a1cd64a_1/1_8/pair_view_000.png,ambiguous,low,vertical_order_near_tie,directed_center_height_margin_near_zero,center_dz_norm=-0.0092;bbox_gap_norm=0.0000;xy_overlap_ratio=0.6196;local_vertical_gap_norm=-0.0617;subject_vertical_aspect=0.0395;local_object_points=840,,,,,,
PV-0035,book --supported by--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.png,,physically_invalid,medium,contact_or_support_missing,pair_or_vertical_separation,center_dz_norm=-0.8886;bbox_gap_norm=0.6713;xy_overlap_ratio=1.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.6335;local_object_points=0,,,,,,
PV-0036,wall --close by--> wall,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.png,,physically_valid,medium,distance_consistent,robust_bbox_gap_norm_le_0.45,center_dz_norm=0.0142;bbox_gap_norm=0.2110;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.9399;local_object_points=0,,,,,,
PV-0037,floor --higher than--> basket,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.png,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_1/1_81/pair_view_000.png,physically_invalid,medium,vertical_order_inconsistent,directed_center_height_reversed_le_-0.12,center_dz_norm=-0.1732;bbox_gap_norm=0.0499;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.2346;subject_vertical_aspect=0.0269;local_object_points=495,,,,,,
PV-0038,table --standing on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.png,local_dataset/qwen_vl_crops/full_validation/ddc7379b-765b-241a-9f45-c37e41608726_2/9_1/pair_view_000.png,physically_valid,medium,standing_support_consistent,support_contact_plus_vertical_pose,center_dz_norm=0.1493;bbox_gap_norm=0.0043;xy_overlap_ratio=0.8925;local_vertical_gap_norm=0.0000;subject_vertical_aspect=0.4971;local_object_points=550,,,,,,
PV-0039,decoration --standing on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.png,local_dataset/qwen_vl_crops/full_validation/75c25975-9ca2-2844-9769-84677f46d4cf_5/36_7/pair_view_000.png,ambiguous,low,support_configuration_uncertain,standing_contact_or_pose_uncertain,center_dz_norm=-0.2102;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.7941;subject_vertical_aspect=1.0870;local_object_points=381,,,,,,
PV-0040,cutting board --lying on--> plant,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.png,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_4/82_85/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,lying_contact_or_pose_uncertain,center_dz_norm=-0.2268;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.5297;subject_vertical_aspect=0.2476;local_object_points=220,,,,,,
PV-0041,flowers --standing on--> cabinet,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.png,,physically_invalid,high,contact_or_support_missing,standing_support_separated,center_dz_norm=-0.3377;bbox_gap_norm=1.1083;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.5456;local_object_points=0,,,,,,
PV-0042,shelf --close by--> bath cabinet,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0042.png,,physically_invalid,high,distance_inconsistent,robust_bbox_gap_norm_ge_1.00,center_dz_norm=-0.1631;bbox_gap_norm=2.1696;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.1617;local_object_points=0,,,,,,
PV-0043,desk --lying on--> chair,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.png,local_dataset/qwen_vl_crops/full_validation/c2d99347-1947-2fbf-834b-f95790c125dd_1/16_23/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,lying_contact_or_pose_uncertain,center_dz_norm=0.1128;bbox_gap_norm=0.0000;xy_overlap_ratio=0.6842;local_vertical_gap_norm=-0.5797;subject_vertical_aspect=0.6997;local_object_points=1089,,,,,,
PV-0044,box --standing on--> chair,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0044.png,,physically_invalid,high,contact_or_support_missing,standing_support_separated,center_dz_norm=0.2701;bbox_gap_norm=3.8216;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.7436;local_object_points=0,,,,,,
PV-0045,table --close by--> wall,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0045.png,local_dataset/qwen_vl_crops/full_validation/c2d99349-1947-2fbf-837e-a0bd5e027c52_3/24_5/pair_view_000.png,physically_valid,high,distance_consistent,robust_bbox_gap_norm_le_0.15,center_dz_norm=-0.4245;bbox_gap_norm=0.0000;xy_overlap_ratio=0.5479;local_vertical_gap_norm=-1.0350;subject_vertical_aspect=0.3678;local_object_points=534,,,,,,
PV-0046,wall --close by--> wardrobe,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0046.png,local_dataset/qwen_vl_crops/full_validation/c2d99343-1947-2fbf-808f-92dbb7d47aa5_1/8_2/pair_view_000.png,ambiguous,low,distance_context_dependent,robust_bbox_gap_norm_mid_band,center_dz_norm=0.3149;bbox_gap_norm=0.5623;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.7770;local_object_points=0,,,,,,
PV-0047,wall --close by--> sofa,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0047.png,local_dataset/qwen_vl_crops/full_validation/6bde60cb-9162-246f-8cf5-d04f7426e56f_1/3_7/pair_view_000.png,physically_valid,high,distance_consistent,robust_bbox_gap_norm_le_0.15,center_dz_norm=0.1985;bbox_gap_norm=0.0000;xy_overlap_ratio=0.5104;local_vertical_gap_norm=-0.1701;subject_vertical_aspect=0.5923;local_object_points=1360,,,,,,
PV-0048,wall --standing on--> cupboard,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.png,local_dataset/qwen_vl_crops/full_validation/4fbad31e-465b-2a5d-84b7-c0ddea978db4_6/8_7/pair_view_000.png,ambiguous,low,support_configuration_uncertain,standing_contact_or_pose_uncertain,center_dz_norm=0.3641;bbox_gap_norm=0.0000;xy_overlap_ratio=0.6322;local_vertical_gap_norm=-0.4178;subject_vertical_aspect=0.7421;local_object_points=1800,,,,,,
PV-0049,box --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0049.png,local_dataset/qwen_vl_crops/full_validation/75c25975-9ca2-2844-9769-84677f46d4cf_2/35_1/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,lying_support_separated,center_dz_norm=0.3517;bbox_gap_norm=0.2847;xy_overlap_ratio=0.7550;local_vertical_gap_norm=None;subject_vertical_aspect=0.8329;local_object_points=0,,,,,,
PV-0050,floor --higher than--> wall,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0050.png,local_dataset/qwen_vl_crops/full_validation/38770ca3-86d7-27b8-85a7-7d840ffdec6a_2/1_26/pair_view_000.png,physically_invalid,medium,vertical_order_inconsistent,directed_center_height_reversed_le_-0.12,center_dz_norm=-0.3255;bbox_gap_norm=0.0083;xy_overlap_ratio=0.9268;local_vertical_gap_norm=-0.4987;subject_vertical_aspect=0.0351;local_object_points=1447,,,,,,
PV-0051,ceiling --lower than--> table,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0051.png,,physically_invalid,high,vertical_order_inconsistent,directed_center_height_reversed_le_-0.40,center_dz_norm=1.1204;bbox_gap_norm=1.2484;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.0649;local_object_points=0,,,,,,
PV-0052,bottle --close by--> toilet brush,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0052.png,,physically_invalid,high,distance_inconsistent,robust_bbox_gap_norm_ge_1.00,center_dz_norm=5.1458;bbox_gap_norm=4.4950;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.8222;local_object_points=0,,,,,,
PV-0053,floor --higher than--> pillow,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0053.png,local_dataset/qwen_vl_crops/full_validation/a0905fd9-66f7-2272-9dfb-0483fdcc54c7_5/1_84/pair_view_000.png,physically_invalid,medium,vertical_order_inconsistent,directed_center_height_reversed_le_-0.12,center_dz_norm=-0.1593;bbox_gap_norm=0.0794;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.2165;subject_vertical_aspect=0.0106;local_object_points=475,,,,,,
PV-0054,wall --supported by--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.png,,ambiguous,low,support_configuration_uncertain,contact_band_or_footprint_uncertain,center_dz_norm=-0.2448;bbox_gap_norm=0.0162;xy_overlap_ratio=0.6298;local_vertical_gap_norm=-0.5657;subject_vertical_aspect=0.9315;local_object_points=506,,,,,,
PV-0055,shelf --lower than--> item,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0055.png,local_dataset/qwen_vl_crops/full_validation/4a9a43d4-7736-2874-87a6-0c3089281af8_1/10_60/pair_view_000.png,physically_valid,high,vertical_order_consistent,directed_center_height_margin_ge_0.50,center_dz_norm=-1.2450;bbox_gap_norm=0.7312;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.8343;local_object_points=0,,,,,,
PV-0056,bedside table --close by--> clutter,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0056.png,,physically_invalid,high,distance_inconsistent,robust_bbox_gap_norm_ge_1.00,center_dz_norm=0.3255;bbox_gap_norm=4.3021;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.1076;local_object_points=0,,,,,,
PV-0057,floor --higher than--> oven,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0057.png,,physically_invalid,medium,vertical_order_inconsistent,directed_center_height_reversed_le_-0.12,center_dz_norm=-0.2948;bbox_gap_norm=0.1686;xy_overlap_ratio=0.0039;local_vertical_gap_norm=-0.3477;subject_vertical_aspect=0.0618;local_object_points=413,,,,,,
PV-0058,window --supported by--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0058.png,,physically_invalid,medium,contact_or_support_missing,pair_or_vertical_separation,center_dz_norm=0.6473;bbox_gap_norm=0.3827;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.4420;local_object_points=0,,,,,,
PV-0059,kitchen cabinet --close by--> toaster,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0059.png,,ambiguous,low,distance_context_dependent,robust_bbox_gap_norm_mid_band,center_dz_norm=0.7710;bbox_gap_norm=0.5628;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.6634;local_object_points=6,,,,,,
PV-0060,stand --lower than--> pc,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0060.png,,ambiguous,low,vertical_order_near_tie,directed_center_height_margin_near_zero,center_dz_norm=-0.0940;bbox_gap_norm=1.1533;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.6767;local_object_points=0,,,,,,
PV-0061,scale --lower than--> lamp,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0061.png,,physically_valid,high,vertical_order_consistent,directed_center_height_margin_ge_0.50,center_dz_norm=-2.7013;bbox_gap_norm=4.0274;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.1366;local_object_points=0,,,,,,
PV-0062,box --close by--> chair,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0062.png,,physically_invalid,high,distance_inconsistent,robust_bbox_gap_norm_ge_1.00,center_dz_norm=0.4558;bbox_gap_norm=1.3315;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.3860;local_object_points=0,,,,,,
