audit_id,relation,predicate_label,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,notes,reviewer_id,reviewed_at
PV-0011,item --higher than--> kitchen appliance,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.ply,physically_valid,high,vertical_order_consistent,True,codex_blinded_proxy:directed_center_height_margin_ge_0.50;center_dz_norm=1.8712;bbox_gap_norm=2.0047;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=3.2367;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.781726+00:00
PV-0012,shower curtain --higher than--> ceiling,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.ply,physically_invalid,high,vertical_order_inconsistent,True,codex_blinded_proxy:directed_center_height_reversed_le_-0.40;center_dz_norm=-1.2668;bbox_gap_norm=0.7242;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-2.0146;subject_vertical_aspect=3.1903;local_object_points=219,codex_blinded_proxy_v1,2026-07-10T06:52:58.784210+00:00
PV-0013,floor --lower than--> pillow,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/f2c76fe9-2239-29d0-87ec-f2c7ced812c1_1/1_38/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.ply,physically_valid,medium,vertical_order_consistent,True,codex_blinded_proxy:directed_center_height_margin_ge_0.18;center_dz_norm=-0.2316;bbox_gap_norm=0.3313;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.0476;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.785556+00:00
PV-0014,box --standing on--> wall,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.ply,physically_valid,medium,standing_support_consistent,True,codex_blinded_proxy:support_contact_plus_vertical_pose;center_dz_norm=0.0361;bbox_gap_norm=0.0868;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.1001;subject_vertical_aspect=0.6593;local_object_points=83,codex_blinded_proxy_v1,2026-07-10T06:52:58.787105+00:00
PV-0015,shelf --standing on--> commode,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.ply,physically_invalid,high,contact_or_support_missing,True,codex_blinded_proxy:standing_support_separated;center_dz_norm=1.8138;bbox_gap_norm=1.2003;xy_overlap_ratio=1.0000;local_vertical_gap_norm=1.2109;subject_vertical_aspect=0.2962;local_object_points=576,codex_blinded_proxy_v1,2026-07-10T06:52:58.788669+00:00
PV-0016,sofa --standing on--> plate,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/a0905fdb-66f7-2272-9fc5-7c0008d5e87b_3/2_88/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.ply,ambiguous,low,support_configuration_uncertain,True,codex_blinded_proxy:standing_contact_or_pose_uncertain;center_dz_norm=-0.0947;bbox_gap_norm=0.0660;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.5883;subject_vertical_aspect=0.4267;local_object_points=61,codex_blinded_proxy_v1,2026-07-10T06:52:58.789783+00:00
PV-0017,pillow --standing on--> pillow,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_5/44_43/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.ply,ambiguous,low,support_configuration_uncertain,True,codex_blinded_proxy:standing_contact_or_pose_uncertain;center_dz_norm=-0.0218;bbox_gap_norm=0.0987;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.7437;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.790206+00:00
PV-0018,plant --supported by--> floor,supported by,support_contact,local_dataset/qwen_vl_crops/full_validation/4fbad32f-465b-2a5d-8408-146ab1d72808_1/28_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.ply,ambiguous,low,support_configuration_uncertain,True,codex_blinded_proxy:contact_band_or_footprint_uncertain;center_dz_norm=0.3729;bbox_gap_norm=0.3060;xy_overlap_ratio=0.0000;local_vertical_gap_norm=0.3044;subject_vertical_aspect=0.8336;local_object_points=38,codex_blinded_proxy_v1,2026-07-10T06:52:58.791743+00:00
PV-0019,pillow --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/0cac7584-8d6f-2d13-8df8-c05e4307b418_1/57_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.ply,physically_valid,medium,standing_support_consistent,True,codex_blinded_proxy:support_contact_plus_vertical_pose;center_dz_norm=0.1375;bbox_gap_norm=0.0940;xy_overlap_ratio=1.0000;local_vertical_gap_norm=0.0909;subject_vertical_aspect=0.4199;local_object_points=15,codex_blinded_proxy_v1,2026-07-10T06:52:58.793218+00:00
PV-0020,floor --supported by--> chair,supported by,support_contact,local_dataset/qwen_vl_crops/full_validation/b1f23308-d255-2761-94da-981d962c6bf8_1/1_4/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0020.ply,physically_valid,medium,contact_or_support_consistent,True,codex_blinded_proxy:local_support_surface_contact;center_dz_norm=-0.0907;bbox_gap_norm=0.0575;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.1757;subject_vertical_aspect=0.0217;local_object_points=1247,codex_blinded_proxy_v1,2026-07-10T06:52:58.795381+00:00
PV-0021,sink --close by--> wall,close by,proximity,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_5/81_70/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.ply,physically_valid,high,distance_consistent,True,codex_blinded_proxy:robust_bbox_gap_norm_le_0.15;center_dz_norm=-0.0481;bbox_gap_norm=0.0219;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.4571;subject_vertical_aspect=0.3208;local_object_points=126,codex_blinded_proxy_v1,2026-07-10T06:52:58.796876+00:00
PV-0022,cabinet --higher than--> shelf,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/c92fb5b7-f771-2064-87a9-31c819832405_1/12_44/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.ply,ambiguous,low,vertical_order_near_tie,True,codex_blinded_proxy:directed_center_height_margin_near_zero;center_dz_norm=-0.1189;bbox_gap_norm=0.3776;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=2.4545;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.797855+00:00
PV-0023,wall --standing on--> player,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.ply,ambiguous,low,support_configuration_uncertain,True,codex_blinded_proxy:standing_contact_or_pose_uncertain;center_dz_norm=-0.4939;bbox_gap_norm=0.0000;xy_overlap_ratio=0.6959;local_vertical_gap_norm=-1.1382;subject_vertical_aspect=0.8730;local_object_points=111,codex_blinded_proxy_v1,2026-07-10T06:52:58.798507+00:00
PV-0024,ceiling --standing on--> kettle,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.ply,physically_invalid,medium,contact_or_support_missing,True,codex_blinded_proxy:standing_support_separated;center_dz_norm=0.5726;bbox_gap_norm=0.5124;xy_overlap_ratio=1.0000;local_vertical_gap_norm=0.5124;subject_vertical_aspect=0.0310;local_object_points=171,codex_blinded_proxy_v1,2026-07-10T06:52:58.801429+00:00
PV-0025,dining chair --close by--> ceiling,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0025.ply,physically_invalid,high,distance_inconsistent,True,codex_blinded_proxy:robust_bbox_gap_norm_ge_1.00;center_dz_norm=-1.4673;bbox_gap_norm=1.8522;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=2.0571;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.804009+00:00
PV-0026,shelf --lower than--> pot,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/68bae75f-3567-2f7c-829d-7422117729f3_2/11_20/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0026.ply,physically_invalid,high,vertical_order_inconsistent,True,codex_blinded_proxy:directed_center_height_reversed_le_-0.40;center_dz_norm=2.5632;bbox_gap_norm=2.4266;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.5346;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.805155+00:00
PV-0027,clothes --close by--> heater,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0027.ply,physically_invalid,high,distance_inconsistent,True,codex_blinded_proxy:robust_bbox_gap_norm_ge_1.00;center_dz_norm=0.3593;bbox_gap_norm=5.5547;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.2719;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.806976+00:00
PV-0028,heater --supported by--> floor,supported by,support_contact,local_dataset/qwen_vl_crops/full_validation/ba6fdaac-a4c1-2dca-8380-f16765679fd7_1/39_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0028.ply,physically_valid,medium,contact_or_support_consistent,True,codex_blinded_proxy:local_support_surface_contact;center_dz_norm=0.0784;bbox_gap_norm=0.0066;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-0.0025;subject_vertical_aspect=0.4334;local_object_points=115,codex_blinded_proxy_v1,2026-07-10T06:52:58.808874+00:00
PV-0029,plant --higher than--> plant,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0029.ply,physically_invalid,medium,vertical_order_inconsistent,True,codex_blinded_proxy:directed_center_height_reversed_le_-0.12;center_dz_norm=-0.2708;bbox_gap_norm=0.2388;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=3.2008;local_object_points=1,codex_blinded_proxy_v1,2026-07-10T06:52:58.811393+00:00
PV-0030,plant --standing on--> shelf,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/8eabc461-5af7-2f32-8663-ce5a10fd97b3_2/62_59/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0030.ply,physically_valid,high,standing_support_consistent,True,codex_blinded_proxy:support_contact_plus_vertical_pose;center_dz_norm=0.3318;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.0787;subject_vertical_aspect=1.3469;local_object_points=63,codex_blinded_proxy_v1,2026-07-10T06:52:58.812006+00:00
PV-0031,curtain --higher than--> ceiling,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0031.ply,physically_invalid,high,vertical_order_inconsistent,True,codex_blinded_proxy:directed_center_height_reversed_le_-0.40;center_dz_norm=-0.7903;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-1.1738;subject_vertical_aspect=7.0522;local_object_points=158,codex_blinded_proxy_v1,2026-07-10T06:52:58.813490+00:00
PV-0032,floor --higher than--> cabinet,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/6e67e550-1209-2cd0-8294-7cc2564cf82c_2/1_15/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0032.ply,physically_invalid,high,vertical_order_inconsistent,True,codex_blinded_proxy:directed_center_height_reversed_le_-0.40;center_dz_norm=-0.4293;bbox_gap_norm=0.2554;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.6330;subject_vertical_aspect=0.0354;local_object_points=1591,codex_blinded_proxy_v1,2026-07-10T06:52:58.815854+00:00
PV-0033,clock --supported by--> ceiling,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.ply,physically_invalid,high,contact_or_support_missing,True,codex_blinded_proxy:pair_or_vertical_separation;center_dz_norm=-0.7084;bbox_gap_norm=1.9189;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=4.3246;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.817335+00:00
PV-0034,floor --higher than--> shower floor,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/1d233fe8-e280-2b1a-8fac-c3646a1cd64a_1/1_8/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.ply,ambiguous,low,vertical_order_near_tie,True,codex_blinded_proxy:directed_center_height_margin_near_zero;center_dz_norm=-0.0092;bbox_gap_norm=0.0000;xy_overlap_ratio=0.6196;local_vertical_gap_norm=-0.0617;subject_vertical_aspect=0.0395;local_object_points=840,codex_blinded_proxy_v1,2026-07-10T06:52:58.818855+00:00
PV-0035,book --supported by--> ceiling,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0035.ply,physically_invalid,medium,contact_or_support_missing,True,codex_blinded_proxy:pair_or_vertical_separation;center_dz_norm=-0.8886;bbox_gap_norm=0.6713;xy_overlap_ratio=1.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.6335;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.819650+00:00
PV-0036,wall --close by--> wall,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0036.ply,physically_valid,medium,distance_consistent,True,codex_blinded_proxy:robust_bbox_gap_norm_le_0.45;center_dz_norm=0.0142;bbox_gap_norm=0.2110;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.9399;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.824884+00:00
PV-0037,floor --higher than--> basket,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_1/1_81/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0037.ply,physically_invalid,medium,vertical_order_inconsistent,True,codex_blinded_proxy:directed_center_height_reversed_le_-0.12;center_dz_norm=-0.1732;bbox_gap_norm=0.0499;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.2346;subject_vertical_aspect=0.0269;local_object_points=495,codex_blinded_proxy_v1,2026-07-10T06:52:58.826601+00:00
PV-0038,table --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/ddc7379b-765b-241a-9f45-c37e41608726_2/9_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0038.ply,physically_valid,medium,standing_support_consistent,True,codex_blinded_proxy:support_contact_plus_vertical_pose;center_dz_norm=0.1493;bbox_gap_norm=0.0043;xy_overlap_ratio=0.8925;local_vertical_gap_norm=0.0000;subject_vertical_aspect=0.4971;local_object_points=550,codex_blinded_proxy_v1,2026-07-10T06:52:58.829019+00:00
PV-0039,decoration --standing on--> wall,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/75c25975-9ca2-2844-9769-84677f46d4cf_5/36_7/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.ply,ambiguous,low,support_configuration_uncertain,True,codex_blinded_proxy:standing_contact_or_pose_uncertain;center_dz_norm=-0.2102;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.7941;subject_vertical_aspect=1.0870;local_object_points=381,codex_blinded_proxy_v1,2026-07-10T06:52:58.830510+00:00
PV-0040,cutting board --lying on--> plant,lying on,support_contact,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_4/82_85/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0040.ply,ambiguous,low,pose_subtype_uncertain,True,codex_blinded_proxy:lying_contact_or_pose_uncertain;center_dz_norm=-0.2268;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-0.5297;subject_vertical_aspect=0.2476;local_object_points=220,codex_blinded_proxy_v1,2026-07-10T06:52:58.831003+00:00
PV-0041,flowers --standing on--> cabinet,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.ply,physically_invalid,high,contact_or_support_missing,True,codex_blinded_proxy:standing_support_separated;center_dz_norm=-0.3377;bbox_gap_norm=1.1083;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.5456;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.832612+00:00
PV-0042,shelf --close by--> bath cabinet,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0042.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0042.ply,physically_invalid,high,distance_inconsistent,True,codex_blinded_proxy:robust_bbox_gap_norm_ge_1.00;center_dz_norm=-0.1631;bbox_gap_norm=2.1696;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.1617;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.833412+00:00
PV-0043,desk --lying on--> chair,lying on,support_contact,local_dataset/qwen_vl_crops/full_validation/c2d99347-1947-2fbf-834b-f95790c125dd_1/16_23/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0043.ply,ambiguous,low,pose_subtype_uncertain,True,codex_blinded_proxy:lying_contact_or_pose_uncertain;center_dz_norm=0.1128;bbox_gap_norm=0.0000;xy_overlap_ratio=0.6842;local_vertical_gap_norm=-0.5797;subject_vertical_aspect=0.6997;local_object_points=1089,codex_blinded_proxy_v1,2026-07-10T06:52:58.835489+00:00
PV-0044,box --standing on--> chair,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0044.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0044.ply,physically_invalid,high,contact_or_support_missing,True,codex_blinded_proxy:standing_support_separated;center_dz_norm=0.2701;bbox_gap_norm=3.8216;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.7436;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.836650+00:00
PV-0045,table --close by--> wall,close by,proximity,local_dataset/qwen_vl_crops/full_validation/c2d99349-1947-2fbf-837e-a0bd5e027c52_3/24_5/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0045.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0045.ply,physically_valid,high,distance_consistent,True,codex_blinded_proxy:robust_bbox_gap_norm_le_0.15;center_dz_norm=-0.4245;bbox_gap_norm=0.0000;xy_overlap_ratio=0.5479;local_vertical_gap_norm=-1.0350;subject_vertical_aspect=0.3678;local_object_points=534,codex_blinded_proxy_v1,2026-07-10T06:52:58.838531+00:00
