audit_id,relation,predicate_label,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,notes,reviewer_id,reviewed_at
PV-0250,ceiling --lower than--> blanket,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0250.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0250.ply,,,,,,,
PV-0054,wall --supported by--> ceiling,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0054.ply,,,,,,,
PV-0052,bottle --close by--> toilet brush,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0052.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0052.ply,,,,,,,
PV-0314,curtain --lower than--> wardrobe,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0314.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0314.ply,,,,,,,
PV-0019,pillow --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/0cac7584-8d6f-2d13-8df8-c05e4307b418_1/57_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.ply,,,,,,,
PV-0265,floor --lower than--> vase,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/c2d99349-1947-2fbf-837e-a0bd5e027c52_2/1_14/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0265.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0265.ply,,,,,,,
PV-0444,wall --lying on--> chair,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0444.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0444.ply,,,,,,,
PV-0301,floor --higher than--> doorframe,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/38770ca5-86d7-27b8-871c-57fdbfe87905_8/1_64/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0301.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0301.ply,,,,,,,
PV-0167,light --close by--> lamp,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0167.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0167.ply,,,,,,,
PV-0483,pillow --close by--> curtain,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0483.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0483.ply,,,,,,,
PV-0105,shelf --close by--> wall,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0105.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0105.ply,,,,,,,
PV-0163,picture --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/f2c76feb-2239-29d0-8418-72b6051fc144_1/23_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0163.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0163.ply,,,,,,,
PV-0448,tv --lower than--> plant,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0448.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0448.ply,,,,,,,
PV-0432,cabinet --higher than--> sink,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0432.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0432.ply,,,,,,,
PV-0287,book --lower than--> cabinet,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0287.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0287.ply,,,,,,,
PV-0017,pillow --standing on--> pillow,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_5/44_43/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.ply,,,,,,,
PV-0195,shelf --lower than--> plant,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0195.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0195.ply,,,,,,,
PV-0482,wall --close by--> sink,close by,proximity,local_dataset/qwen_vl_crops/full_validation/1d234022-e280-2b1a-8cec-e9787bb0d7b2_3/8_26/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0482.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0482.ply,,,,,,,
PV-0461,board --supported by--> door,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0461.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0461.ply,,,,,,,
PV-0276,floor --close by--> toilet,close by,proximity,local_dataset/qwen_vl_crops/full_validation/422885c5-192d-25fc-85e6-12a3d65c8e7b_1/1_8/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0276.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0276.ply,,,,,,,
PV-0008,wardrobe --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_5/4_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.ply,,,,,,,
PV-0257,plant --lying on--> floor,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0257.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0257.ply,,,,,,,
PV-0337,table --higher than--> ceiling,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0337.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0337.ply,,,,,,,
PV-0131,curtain --lower than--> wall,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/6e67e550-1209-2cd0-8294-7cc2564cf82c_2/6_4/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0131.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0131.ply,,,,,,,
PV-0447,lamp --standing on--> bench,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0447.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0447.ply,,,,,,,
PV-0267,pillow --close by--> pillow,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0267.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0267.ply,,,,,,,
PV-0033,clock --supported by--> ceiling,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0033.ply,,,,,,,
PV-0133,couch --lying on--> shelf,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0133.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0133.ply,,,,,,,
PV-0400,shelf --higher than--> box,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_4/55_39/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0400.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0400.ply,,,,,,,
PV-0065,tv --standing on--> tv stand,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/7747a50c-9431-24e8-877d-e60c3a341cc2_7/37_36/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0065.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0065.ply,,,,,,,
PV-0406,lamp --lower than--> sink,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0406.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0406.ply,,,,,,,
PV-0225,cabinet --close by--> couch,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0225.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0225.ply,,,,,,,
PV-0091,floor --close by--> door,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0091.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0091.ply,,,,,,,
PV-0374,clutter --higher than--> object,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0374.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0374.ply,,,,,,,
PV-0419,wall --close by--> ladder,close by,proximity,local_dataset/qwen_vl_crops/full_validation/8eabc45f-5af7-2f32-8528-640861d2a135_7/44_48/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0419.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0419.ply,,,,,,,
PV-0290,fireplace --supported by--> wall,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0290.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0290.ply,,,,,,,
PV-0248,plant --higher than--> ceiling,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0248.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0248.ply,,,,,,,
PV-0235,shelf --supported by--> wall,supported by,support_contact,local_dataset/qwen_vl_crops/full_validation/e61b0e02-bada-2f31-82d0-80fc5c70bd6f_2/16_14/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0235.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0235.ply,,,,,,,
PV-0263,cleanser --close by--> washing machine,close by,proximity,local_dataset/qwen_vl_crops/full_validation/787ed58c-9d98-2c97-83b9-b48a609ace15_2/20_5/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0263.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0263.ply,,,,,,,
PV-0307,trash can --close by--> floor,close by,proximity,local_dataset/qwen_vl_crops/full_validation/ab835fae-54c6-29a1-995e-b06cfc555786_1/7_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0307.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0307.ply,,,,,,,
PV-0463,curtain --close by--> lamp,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0463.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0463.ply,,,,,,,
PV-0084,plant --close by--> wall,close by,proximity,local_dataset/qwen_vl_crops/full_validation/5341b7e3-8a66-2cdd-8709-66a2159f0017_1/26_11/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0084.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0084.ply,,,,,,,
PV-0284,chair --supported by--> plant,supported by,support_contact,local_dataset/qwen_vl_crops/full_validation/280d8ebb-6cc6-2788-9153-98959a2da801_1/15_49/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0284.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0284.ply,,,,,,,
PV-0087,sofa --standing on--> item,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/4a9a43d4-7736-2874-87a6-0c3089281af8_7/22_74/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0087.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0087.ply,,,,,,,
PV-0172,hand dryer --lower than--> trash can,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0172.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0172.ply,,,,,,,
PV-0357,wall --lower than--> wardrobe,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0357.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0357.ply,,,,,,,
PV-0485,printer --lower than--> wall,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/10b17940-3938-2467-8a7a-958300ba83d3_3/22_8/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0485.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0485.ply,,,,,,,
PV-0050,floor --higher than--> wall,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/38770ca3-86d7-27b8-85a7-7d840ffdec6a_2/1_26/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0050.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0050.ply,,,,,,,
PV-0385,floor --higher than--> pillow,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/0cac75b7-8d6f-2d13-8cb2-0b4e06913140_4/1_54/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0385.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0385.ply,,,,,,,
PV-0070,wall --close by--> fireplace,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0070.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0070.ply,,,,,,,
PV-0479,floor --higher than--> cabinet,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/c92fb5b7-f771-2064-87a9-31c819832405_3/1_22/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0479.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0479.ply,,,,,,,
PV-0086,doorframe --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/321c8680-a5a8-2a84-85c2-816a26d59516_1/22_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0086.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0086.ply,,,,,,,
PV-0119,table --close by--> plant,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0119.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0119.ply,,,,,,,
PV-0041,flowers --standing on--> cabinet,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0041.ply,,,,,,,
PV-0083,kitchen cabinet --supported by--> floor,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0083.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0083.ply,,,,,,,
PV-0449,object --standing on--> tv,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/5630cfcf-12bf-2860-8784-83d28a611a83_2/22_17/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0449.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0449.ply,,,,,,,
PV-0469,clock --higher than--> towel,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/5341b7e3-8a66-2cdd-8709-66a2159f0017_1/15_13/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0469.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0469.ply,,,,,,,
PV-0240,wall --lower than--> trash can,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/4fbad31e-465b-2a5d-84b7-c0ddea978db4_6/3_25/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0240.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0240.ply,,,,,,,
PV-0208,bath cabinet --higher than--> trash can,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/4d3d82b0-8cf4-2e04-80a8-c955ea964c2f_2/14_21/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0208.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0208.ply,,,,,,,
PV-0203,wall --close by--> window,close by,proximity,local_dataset/qwen_vl_crops/full_validation/fcf66d7b-622d-291c-86b8-7db96aebcee3_1/10_9/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0203.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0203.ply,,,,,,,
PV-0360,cutting board --close by--> bag,close by,proximity,local_dataset/qwen_vl_crops/full_validation/38770ca3-86d7-27b8-85a7-7d840ffdec6a_4/79_82/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0360.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0360.ply,,,,,,,
